"event_year","n","med_donations_nominal","med_donations_real","med_income_real"
-4,82,12171.5,12171.5,313355
-3,216,8744.5,8683.3708086785,212056.645956607
-2,394,6198.5,6105.28952473327,159973.943786982
-1,636,7915,7639.35217335575,174173.617846751
0,635,12972,11768.0906713165,218231.755424063
1,640,14726.5,13391.122278057,213693.563432836
2,488,14748.5,13036.850921273,205539.465830396
3,330,11420.5,9757.02363897371,193019.440781355
4,151,21227,17778.0569514238,464879.396984925
