"cohort3","n","med_real_growth","share_don_up","med_share_2019","med_share_2024","med_share_change"
"always",11298,0,0.442556204637989,0.0652347416596224,0.0510996879452515,0
"never",15630,0,0.327063339731286,0.0107937640259617,0.0105661952234417,0
"switcher",493,0.377789106325391,0.553752535496957,0.0830591445309365,0.0994486433871652,0
