"abn","charity_legal_name","charity_size","ais_year","endorsement_fy","event_year","is_startup","donations_and_bequests","total_gross_income","donation_share"
"44085875823","Worldview Centre For Intercultural Studies","Small",2019,2021,-2,FALSE,4866,370863,0.0131207480929616
"44161310130","Glow Church","Large",2019,2022,-3,FALSE,3439774,3800928,0.904982677914446
"44189041144","PREGNANT ALTERNATIVES INCORPORATED","Small",2019,2023,-4,FALSE,5278,5357,0.985252940078402
"44362890385","Global Gardens of Peace Incorporated","Small",2019,2022,-3,FALSE,29833,31137,0.958120563959277
"44568476377","Atisha Centre Inc","Small",2019,2023,-4,FALSE,0,310480,0
"44695079183","Sewa International Australia Inc","Small",2019,2021,-2,FALSE,24144,24144,1
"44759796180","Centenary Suburbs Men's Shed Inc","Small",2019,2021,-2,FALSE,4976,71415,0.0696772386753483
"44812153429","NSW Farmers Natural Disaster Relief Fund Inc","Small",2019,2020,-1,FALSE,129451,129815,0.99719600970612
"45339846991","Monaro Family Support Service Incorporated","Medium",2019,2023,-4,FALSE,8100,593890,0.0136388893566149
"45495343458","Islamic Dawah Centre of Australia Inc","Small",2019,2022,-3,FALSE,77251,77251,1
"45608731120","The Inspired Crusaders Ltd","Small",2019,2023,-4,FALSE,0,43141,0
"46006178641","Cvgt Australia Limited","Large",2019,2021,-2,FALSE,0,42027689,0
"46101213478","Council Of Presidents Of Medical Colleges Ltd","Medium",2019,2023,-4,FALSE,0,1400278,0
"46133445404","Earth Garden Foundation Australia Ltd","Small",2019,2021,-2,FALSE,63789,64173,0.99401617502688
"46486944346","Overflowing Church Incorporated","Small",2019,2020,-1,FALSE,268702,268702,1
"47065314758","City West Housing Pty Limited","Large",2019,2020,-1,FALSE,0,35629861,0
"47162770729","Muslim Global Aid Limited","Small",2019,2022,-3,FALSE,716529,716529,1
"47237572750","Royal Australian Artillery Association (Northern Territory) Incorporated","Medium",2019,2020,-1,FALSE,0,135543,0
"47512918032","Explore Youth and Family Therapy Inc.","Small",2019,2020,-1,FALSE,1100,1799,0.611450806003335
"47639146736","STRONG ANGELS INC.","Small",2019,2021,-2,FALSE,78155,115302,0.677828658652929
"47656182430","Charters Towers Women of The Outback Shed Inc","Small",2019,2021,-2,FALSE,623,5411,0.115135834411384
"47703627137","Worimi Aboriginal Community Co-Operative Ltd","Small",2019,2021,-2,FALSE,0,130078,0
"47909376387","Eden Community Access Centre Inc","Small",2019,2023,-4,FALSE,59219,130391,0.454164781311594
"48102463744","Vets for Compassion Incorporated","Medium",2019,2022,-3,FALSE,108676,116999,0.928862639851623
"48466077275","Coffs Harbour Community Men's Shed Incorporated","Small",2019,2021,-2,FALSE,12221,85826,0.142392748118286
"48548850263","Warrnambool Men's Shed Incorporated","Small",2019,2021,-2,FALSE,1300,19515,0.0666154240327953
"48606733359","Edusupport Ltd","Small",2019,2022,-3,FALSE,400,159302,0.00251095403698635
"48773551391","Gymea Bay Public School P&C Assoc","Small",2019,2023,-4,FALSE,0,50361,0
"48860387699","Bond Street Kindergarten Chilwell Inc","Medium",2019,2020,-1,FALSE,0,687770,0
"48947927354","Hale School Foundation Inc","Medium",2019,2020,-1,FALSE,171515,5152254,0.0332893137644223
"50149270900","Magic Coat Foundation","Medium",2019,2022,-3,FALSE,81054,130892,0.619243345659017
"50297510663","Lien Tri Buddhist Benevolent Association, Lien Tri Temple Inc.","Small",2019,2022,-3,FALSE,85000,94300,0.901378579003181
"50354979153","LifeNets Australia Incorporated","Small",2019,2020,-1,FALSE,34990,34990,1
"50384961465","F.E.T.C.H. Assistance Dogs Inc.","Small",2019,2022,-3,FALSE,240,5541,0.0433134813210612
"50454424905","South Sudan Child First Education (SSCFE) Incorporated","Small",2019,2020,-1,FALSE,2450,2450,1
"50756635036","WIZO VICTORA INC.","Medium",2019,2023,-4,FALSE,273583,408559,0.669629111095338
"50857103537","Belle Vie Animal Rescue","Small",2019,2020,-1,FALSE,19670,59444,0.330899670277909
"51008515508","Multiple Sclerosis Australia","Large",2019,2021,-2,FALSE,598137,1689317,0.35407031362379
"51145751837","Community Learning Ltd","Large",2019,2023,-4,FALSE,0,4362631,0
"51152864609","Charity Drive Days Inc","Medium",2019,2023,-4,FALSE,178237,775682,0.229781018510163
"51445386189","Sylvan Glades Inc","Medium",2019,2021,-2,FALSE,0,161398,0
"51455679821","Business & Rural Solutions Limited","Large",2019,2022,-3,FALSE,0,3696522,0
"51607702338","Blake Street Hebrew Congregation Inc","Medium",2019,2020,-1,FALSE,36364,36364,1
"51646764847","St John's Lutheran School Jindera Ltd","Large",2019,2021,-2,FALSE,21846,3312289,0.00659543898494364
"51934682604","Pymble Turramurra Pre-School Inc","Medium",2019,2021,-2,FALSE,0,905555,0
"52060813541","World Youth International (Aust) Ltd","Medium",2019,2022,-3,FALSE,708237,1417818,0.499526032255198
"52146609961","Warwick Men's Shed Inc.","Small",2019,2022,-3,FALSE,6149,27008,0.227673281990521
"52159380065","Buddha Dharma Education Association Inc","Small",2019,2023,-4,FALSE,202885,202882,1
"52368663383","Nunyara Aboriginal Health Service. Inc","Large",2019,2023,-4,FALSE,0,2898385,0
"52634235680","Murray Haven Homes Ltd","Large",2019,2022,-3,FALSE,10808,3270840,0.00330434995291729
"52672801654","Global Ripple Incorporated","Medium",2019,2023,-4,FALSE,2170,160388,0.0135296905005362
"53009481485","Christian Schools Tasmania","Large",2019,2021,-2,FALSE,33363,17751135,0.00187948545262035
"53101360336","MAIDE Inc.","Small",2019,2020,-1,FALSE,8938,8938,1
"53487883254","In the Paws of Angels Inc","Small",2019,2023,-4,FALSE,737,54677,0.0134791594271814
"53620147775","The School of St  Jude Limited","Large",2019,2021,-2,FALSE,6725626,7967974,0.844082322557779
"53623275196","Hunter Anzac Memorial Limited","Medium",2019,2021,-2,FALSE,65000,121746,0.533898444302072
"54164074661","Branxton Greta Men's Shed Incorporated","Small",2019,2021,-2,FALSE,18870,18870,1
"54253257443","Working Womens Centre Inc","Large",2019,2020,-1,FALSE,2237,737939,0.00303141587583798
"54263014967","Bayside Glen Eira Kingston Llen Inc","Medium",2019,2022,-3,FALSE,0,462831,0
"54280302765","Umina Beach Mens Shed Incorporated","Small",2019,2021,-2,FALSE,20012,37497,0.533696029015655
"54338990856","Inner Northern Local Learning And Employment Network Incoporated","Medium",2019,2020,-1,FALSE,0,1005703,0
"54623926009","Global Sustainable Development Vision Innovative Association Ltd","Small",2019,2022,-3,FALSE,18333,18333,1
"54776873363","Tingalpa & District Kindergarten Association Inc","Medium",2019,2021,-2,FALSE,0,295052,0
"55000364474","The National Council Of Jewish Women Of Australia New South Wales Division","Small",2019,2023,-4,FALSE,7744,257416,0.0300836000870187
"55415242975","Buderim Men's Shed Inc","Small",2019,2020,-1,FALSE,20220,567577,0.0356251222301115
"55612449604","Islamic Council Of New South Wales Inc","Medium",2019,2020,-1,FALSE,95193,706461,0.134746291727356
"56254262824","Esperance Crisis Accomodation Service Inc","Medium",2019,2020,-1,FALSE,10273,581431,0.0176684765690168
"56405057386","Australian Water Safety On the Mekong (AWSOM) Project Inc","Small",2019,2022,-3,FALSE,3536,14858,0.237986270022883
"56840304628","Carlingford Public School P&C Association","Small",2019,2021,-2,FALSE,49131,302092,0.162635885756657
"57098352150","Community Business Bureau Inc","Large",2019,2022,-3,FALSE,0,5482278,0
"57382768399","Caringbah North Public School P And C Association","Small",2019,2020,-1,FALSE,68546,131739,0.520316686782198
"57624185217","Offshore and Specialist Ships Australia Ltd","Small",2019,2020,-1,FALSE,3452,22273,0.154985857316033
"57649413936","Rural Financial Counselling Service, NSW - Southern Region Limited","Large",2019,2022,-3,FALSE,0,2613130,0
"57657202934","Albany Surf Life Saving Club","Medium",2019,2021,-2,FALSE,66956,231331,0.289438077905685
"57794560132","Wattle Group Inc","Small",2019,2021,-2,FALSE,3315,407150,0.0081419624217119
"57910165955","Claws n Paws Rescue Group Inc","Small",2019,2020,-1,TRUE,9366,156965,0.0596693530404867
"58154234383","Sherwood Ridge Public School Parents and Citizens Association","Small",2019,2022,-3,FALSE,0,52676,0
"58160920528","Ferncourt Public School P&C Association","Small",2019,2020,-1,FALSE,0,314709,0
"58608203592","Lower North Shore Community Transport Inc","Medium",2019,2020,-1,FALSE,140,1617475,8.65546608139229e-05
"58636664983","Ruah Legal Services Limited","Large",2019,2020,-1,FALSE,6580,1180567,0.005573593027757
"59284895650","Anam Cara House Colac Inc","Medium",2019,2020,-1,FALSE,334483,725804,0.460844801075773
"59475464712","Dangrove Trust","Large",2019,2020,-1,FALSE,0,410321,0
"59622234799","Alliance for Journalists' Freedom Ltd","Small",2019,2021,-2,FALSE,84680,84680,1
"59802036898","THE WYNNUM-MANLY AND DISTRICTS MEN'S SHED INC.","Small",2019,2021,-2,FALSE,26433,90652,0.291587609760402
"60088024355","Coast Christian School","Large",2019,2022,-3,FALSE,13621,1279365,0.0106466880053777
